code	name	native
ABX	Abxaz	Aҧсшәа
AFR	Afrikaans	Afrikaans
AKA	Akan	Akan
AMA	Amharic	ኣማርኛ
ARA	Arabic	العربية
ASA	Assamese	অসমীয়া
AVA	Avar	Авар
AYM	Aymara	Aymar
AZE	Azerbaijani	Azərbaycanca
BAM	Bambara	Bamanankan
BAN	Bengali	বাংলা
BAS	Bashkir	Башҡорт
BEL	Belarussian	Беларуская
BIS	Bislama	Bislama
BOS	Bosnian	Босански
BRE	Breton	Brezhoneg
BUL	Bulgarian	Български
CAT	Catalan	Català
CEB	Cebuano	Sinugboanon
CES	Czech	Český
CHA	Chamorro	Chamoru
CHR	Church Slavonic	Словѣ́ньскъ
CHS	Chuvash	Чӑвашла
COR	Cornish	Kernewek
COS	Corsican	Corsu
CYM	Chymraeg	Cymraeg
DAN	Danish	Dansk
DEU	German	Deutsch
DHI	Dhivehi	ދިވެހި
DIG	Digoron	Дигорон
DZO	Dzongkha	རྫོང་ཁ
ELL	Ellinic	Ελληνικά
ENG	English	English
ESO	Esperanto	Esperanto
ESP	Spanish	Español
EST	Estonian	Eesti
EUS	Euskara	Euskara
EWE	Ewe	Èʋe
FAO	Faroese	Føroyskt
FAR	Farsi	فارسی
FIL	Filipino	Filipino
FRA	French	Français
FRI	Friulian	Furlan
FRY	Frisian	Frysk
FUL	Fula	Fulfulde
GAE	Gaelic	Gaeilge
GAI	Scottish Gaelic	Gàidhlig
GAL	Galician	Galego
GUA	Guarani	Avañe'ẽ or Javy ju
GUJ	Gujarati	ગુજરાતી
HAN	Hangugo	한국어
HAU	Hausa	حَوْسَ
HAY	Hayeren	Հայերեն
HER	Herero	Otjiherero
HIN	Hindi	हिन्दी
HIR	Hiri Motu	Hiri Motu
HRV	Croatian	Hrvatski
IGB	Igbo	Asụsụ Igbo
IND	Indonesian	Bahasa Indonesia
INK	Inuktitut	ᐃᓄᒃᑎᑐᑦ
INP	Inupiaq	Iñupiatun
INT	Interlingua	Interlingua
ISL	Icelandic	Íslenska
ITA	Italian	Italiano
IVR	Ivrit	עברית
JAV	Javanese	ꦧꦱꦗꦮ
KAL	Kalaallisut	Kalaallisut
KAN	Kannada	ಕನ್ನಡ
KAR	Kartuli	ქართული
KAS	Kashmiri	كٲشُر
KAU	Kanuri	Kanuri
KAZ	Kazakh	Қазақ
KHM	Khmer	ភាសាខ្មែរ
KIK	Kikuyu	Gĩkũyũ
KIL	Kiluba	Kiluba
KIN	Kinyarwanda	Ikinyarwanda
KIR	Kirundi	Ikirundi
KOM	Komi	Коми
KON	Kongo	Kikongo
KUR	Kurdish	Kurdí
KWA	Kwanyama	Oshikwanyama
KYR	Kyrgyz	Кыргыз
LAD	Ladin	Ladin
LAO	Lao	ພາສາລາວ
LAT	Latin	Latīna
LAV	Latvian	latviešu
LHA	Tibetian	ལྷ་སའི་སྐད
LIN	Lingala	Lingála
LIT	Lithuanian	Lietuvių
LUG	Luganda	Luganda
LUX	Luxembourgish	Lëtzebuergesch
MAC	Macedonian	Mакедонски
MAG	Magyar	Magyar
MAL	Malayalam	മലയാളം
MAN	Manx	Gaelg
MAO	Maori	Māori
MAR	Marathi	मराठी
MAT	Maltese	Malti
MAY	Malay	بهاس ملايو
MLG	Malagasy	Malagasy
MOL	Moldovan	Молдовеняскэ
MON	Mongolian	Монгол
MYA	Myanmar	မြန်မာစာ
NAU	Nauruan	Nauru
NAV	Navaho	Diné bizaad
NDE	Ndebele	isiNdebele
NDO	Ndonga	Ndonga
NED	Dutch	Nederlands
NEP	Nepali	नेपाली
NIH	Nihongo	日本語
NOR	Norwegian	Norsk
NOX	Noxchiyn	Нохчийн
NYA	Nyanja	Nyanja
OCC	Occidental	Interlingue
OCI	Occitan	Occitan
OJI	Ojibwe	ᐊᓂᔑᓈᐯᒧᐎᓐ
ORI	Oria	ଓଡ଼ିଆ
ORO	Oromo	Oromoo
PAL	Pali	पालि
PAS	Pashto	پښتو
POL	Polish	Polski
POR	Portuguese	Português
PUN	Punjabi	पंजाबी
QAF	Qafar	Qafár
QUE	Quechuan	Kechua
ROM	Romani	Romani
RON	Romanian	Română
ROS	Romansh	Rumantsch
RUS	Russian	Русский
SAG	Sango	Sängö
SAM	Samoan	Gagana Sāmoa
SAN	Sanskrit	संस्कृतम्
SAR	Sardinian	Sardu
SCB	Serbo-Croatian	srpskohrvatski
SHO	Shona	Shona
SHQ	Shqip	Shqip
SIN	Sinhala	සිංහල
SIN	Sindhi	سنڌي
SLO	Slovak	Slovenčina
SLV	Slovene	Slovenščina
SOM	Somali	الصومالية
SOT	Sotho	Sesotho
SRP	Serbian	Српски
SSW	Swazi	siSwati
SUN	Sundanese	ᮘᮞ ᮞᮥᮔ᮪ᮓ
SUO	Suomi	Suomi
SVE	Swedish	Svenska
SWA	Swahili	كِيْسَوَاحِيْلِيْ‎
TAG	Tagalog	ᜏᜒᜃᜅ᜔ ᜆᜄᜎᜓᜄ᜔
TAH	Tahitian	Reo Mā'ohi
TAJ	Tajik	Тоҷикӣ
TAM	Tamil	தமிழ்
TAT	Tatar	تاتارچا
TEL	Telugu	తెలుగు
THA	Thai	ภาษาไทย
TIG	Tigrinya	ትግርኛ
TON	Tongan	faka-Tonga
TSI	Tsiluba	Tshiluba
TSO	Tsonga	Xitsonga
TSW	Tswana	Setswana
TUK	Turkmen	Türkmençe
TUR	Turkish	Türkçe
URD	Urdu	اُردُو
URK	Ukrainian	Українська
UYG	Uyghur	ئۇيغۇر تىلى
UZB	Uzbek	اوزبیک
VAK	Vakaviti	Vakaviti
VEN	Venda	Tshivenḓa
VIE	Vietnamese	Tiếng Việt
VOL	Volapyuk	Volapük
WOL	Wolof	Wolof
XHO	Xhosa	isiXhosa
YID	Yiddish	ייִדיש ייִדיש‎ 
YOR	Yoruba	Yorùbá
ZHO	Zhongo	中文
ZHU	Zhuang	話僮
ZUL	Zulu	isiZulu
